uid,community_label
1426097808790503426,0
-7373711188742062061,0
-3765297007771418605,0
-8374291160659951584,0
-1762668604858531810,0
2599343793813864486,0
1453966586855284777,0
-7463191829352095696,0
-82351723128127440,0
-383699275230543823,0
7722716302063312941,0
6494466534230474802,0
4704157536999047221,0
2019494719078801467,0
-333355586433163201,0
701260118557155394,0
-5726411041781039035,0
3109623068351119428,0
995834139027603528,0
-336453182891769784,0
-4506208810000326579,0
-7775388071323565998,0
8774683390288257100,0
-6583206852408991657,0
5004099472065142867,0
-8553702225367048103,0
3729851760171360352,0
4013519285372960875,0
2746122577777975409,0
1176033550189133941,0
-637703648646610823,0
3838802402535104636,0
-2280124817413783426,0
-4760784718361927552,0
-9073914388298522481,0
824599992834269325,0
-7325868036490362726,0
1561460941468344473,0
5783842092250218648,0
8952338411359199383,0
7074101841938546841,0
7992885169313833115,0
-8989856644310179676,0
-4763328741071052635,0
-852590963684106076,0
-2518774573547306840,0
8877772206163542186,0
5338309301992530097,0
-7786777097029476166,0
-570700984171028293,0
-6324494625000865600,0
-7284855841707204410,0
5493181287252975811,0
-6578399345519525682,0
5371093953282826448,0
-3480157193819463468,0
-8373641219380567844,0
-1180233732109893414,0
6808276451125223642,0
3510486211144761564,0
-6213538562920120096,0
4303958703946186973,0
-3395159503238749986,0
-3690431587456327453,0
-409333265244127005,0
7835443587464167650,0
-1711303332168621849,0
8809415669096939750,0
4476059863050748139,0
6280497127262421232,0
-1500872654388477710,0
5152716913288036596,0
-3161033818201128711,0
-4224433331059203842,0
7135194679667474685,0
-5722052290262417148,0
-4905931354996825850,0
-4376490413643112186,0
-4606783044283743992,0
4833496419353264391,0
6976570811017863430,0
-6044051538394431211,0
5209289884663554322,0
4487686047345762580,0
2387211325034176789,0
915523692790137112,0
1782975862383698208,0
7625299604792762658,0
-3498316207016410841,0
-8277129912229428946,0
5261453944805597483,0
-3991988745681673937,0
3532117265328128308,0
-6052142067279257280,0
8149925104179323199,0
-8818364600390344379,0
-5176135791165890234,0
-928876062701477565,0
6944152590351573313,0
830815028699513163,0
-2676035244574539442,0
-1973480958578294448,0
-2375849343718645416,0
4424967481761497433,0
5590329233204601176,0
275567218438619498,0
-6720036358994058899,0
-8392342391173734029,0
-6297616613664284299,0
-7441612625261403785,0
595423353847775606,0
-7881195332530962053,0
-8881113804253888121,0
3937989691699945863,0
-656942628393467508,0
7596583008801816971,0
3918776697946063249,0
6497826346546364817,0
-5354195087180127835,0
-524414879594757724,0
-1309494477747289687,0
549154593881342380,0
2134514969090646448,0
2228518279606100403,0
4042260177937940917,0
-7088947191455309381,0
2241434392654750153,0
8427025289670525392,0
-818720764413787692,0
-7616386039659413032,0
-8675661745106935328,0
-2793719047583120929,0
-2505550499384327707,0
-2156055378057182744,0
-2508089250095185430,0
3090480718416871914,0
3361467963438981614,0
-727428500098530830,0
1734948118594470391,0
5161598485843714558,0
-2191791419398413822,0
-8766344888931900923,0
8661371783247921665,0
-8384721668613807604,0
-8039427687753637355,0
2480595930915832342,0
-1813124776010341864,0
8127881361268474392,0
-8752264469709888989,0
-2899153512020958686,0
6399086161111622177,0
-7010673174630292952,0
4226743203636830756,0
113196745125306923,0
-7392392655240666569,0
-6174660363913117129,0
5394860921043599926,0
4016308050707612232,0
8729845729337705037,0
-3020610397480508847,0
1808060623345607250,0
-2842260849489264043,0
-5970676647342874020,0
-2151919457263820197,0
2257312837184512605,0
8558824923953685085,0
7793660014416437856,0
-4918878911095373208,0
3692689043552838246,0
-851238697097608596,0
-3120662997769420177,0
-63894890111065490,0
9037697905646920301,0
-4265810210184166795,0
-2767513399950908810,0
-3475123077204082055,0
1976809547633295993,0
-5574039279092333952,0
4572830407981957770,0
8240239125346149001,0
-8362180055745584493,0
8543328902280405645,0
1879954531349455506,0
871110544344679060,0
3191039044617347734,0
5022224875885044374,0
3109688052829020824,0
929822738217247388,0
-6756172968087231839,0
-6756029159155416413,0
3060851448532804256,0
-4870663016584838488,0
-4715715719554284887,0
5003350262144041640,0
4065066281463227058,0
-6808550056246533437,0
2425116071784628933,0
-4651897643697708342,0
7578617176641774281,0
-8379557017080085804,0
-1858851452253429029,0
-7807693078148324638,0
4441389527736681183,0
-1939687194555776277,0
516664445482287852,0
-2591686119805115656,0
-5926343980650888453,0
-9090585151784451330,0
1985308787678929659,0
-4255563858331966720,0
6255515227109761795,0
6213314699265147652,0
-4641437714671238388,0
1236862312234902284,0
7269354870504080143,0
-6890115919388499178,0
-7449918407614553321,0
2098472807220003613,0
-3943516721808923873,0
-3004924328072731869,0
-4254335200671841486,0
5706937254080373552,0
7229904455987921714,0
4798340176595100469,0
7383997720712037174,0
5499836616257921851,0
-5924657497451576512,0
-1578850995259104439,0
-346341901782260915,0
-1921089962394737843,0
-2707742270174411947,0
-7432451651517365414,0
4621388381342810966,0
-3250677210485324966,0
-7114661982896340120,0
-8449191800151784597,0
-1224318190778195091,0
-3930805766025419919,0
1014318720613139313,0
5797016495035204464,0
3551516374131204976,0
4169799121674863475,0
-7811774213063670919,0
2220409773969023868,0
-3589595711888563329,0
-486007564583140475,0
-2160238989842513018,0
-2068532173957446777,0
441327995509597061,0
663232447135466377,0
-2233203277528980592,0
237672612538680211,0
7676905480664597396,0
-5576065008496114790,0
5471833033096946581,0
-3435389290413317222,0
284685202667864999,0
-962025238701669463,0
-3000005676969262163,0
-6140701517702601810,0
-5423391420768312400,0
1848375290933535666,0
4886093459632161715,0
2283615959590347701,0
2055884102953796535,0
-1065589523528817738,0
-4104727675641797701,0
4815979735593108410,0
-8953657252971084863,0
-1768964610047818817,0
5551784171759551420,0
-8529996469866241087,0
8980072419392283583,0
-5491428784567032883,0
-8578279348393425967,0
-6287499335884561454,0
-5402098909702552613,0
1360156122924786649,0
-5477973962843773979,0
1854505441982055399,0
-6082561229810809875,0
-917885511975066632,0
3891266538711540732,0
-5834733484321676286,0
-349117307558722556,0
-6805368778221853683,0
5751879605240595476,0
6771028263427638292,0
-5907096958254701539,0
-8157287694749481953,0
-7764662722145254369,0
1387249997571769381,0
6787895901080052772,0
-871073761135664089,0
-9018613781574310869,0
-7904521867187321812,0
-3754398217475431383,0
5536520779123811373,0
3073179925057315887,0
8291399763526272046,0
8322477120591578163,0
1993341779464717368,0
-2909276482592594887,0
6797208790808781880,0
-5595123924587461570,0
-9154185205845097400,0
-5416416626859383733,0
-4255346697394830261,0
8072163233618510920,0
1630634199464608844,0
6534384806584476747,0
-839367496228371375,0
-1195575463008582565,0
5878303056091948125,0
-6912651359099280287,0
8500072335492015200,0
-4816841385137765264,0
6635938752226600046,0
-2001890525630282639,0
1102573209280996468,0
-5658918222334794633,0
2164211133860471934,0
-4721402503696284540,0
-7301102466766109555,0
-2427379375783025522,0
-2811724810151770989,0
628206498122106003,0
8710555523455747215,0
7267827111765050514,0
2540539240447149204,0
6387063467170743445,0
3134175180140029075,0
2243009917236528286,0
4643243008848626848,0
-2708652821595945818,0
-2779383790964652890,0
-5248841172454513493,0
-1111910398299249495,0
-609553943993842517,0
-3766511322995587914,0
6180894709431076020,0
-672067560577915721,0
-249556383836265284,0
-9033961014571514682,0
-8383370223572482874,0
-978934736114801469,0
-5406432398056012597,0
5345351695090148557,0
-7912877216566237996,0
-4012141865992477485,0
6683984502694470865,0
4022214922600670422,0
-2183032853238938404,0
-3923976716888447775,0
-2111933147891833626,0
7128452919119619303,0
-1785231427481205525,0
8238019263771075823,0
7566982566052513010,0
-4128819404826139401,0
859218937407628536,0
-168391274004347654,0
-3103624420710742781,0
-9119699195256396538,0
-7361564901408307959,0
-5276410259472235247,0
-274312175546620657,0
-4514713992278768366,0
-295839279652231920,0
-3872574029124123369,0
6452487186245780765,0
5345738073608611101,0
-7318342879841213147,0
-7131746490880596697,0
1412377076821083430,0
1175383040516941095,0
-3598740786897943250,0
-2540921508153211600,0
-6927594955132345038,0
5986099711579088179,0
-6562385525591366340,0
-1747212090003266243,0
6959931951364146493,0
-3300031390614813370,0
-183790424774441659,0
-1091470978880559803,0
4393912324991771983,0
3058051242042393938,0
-4213206000342465187,0
1196673169667614046,0
