id_usr_rt,score_usr,score_usr_rt
12864,-0.20024665882094186,1.0
58613,0.9136062933595559,0.8776308075559951
59173,-0.907340349320449,0.3378061184042487
624143,0.4077802677003278,0.7985200470743483
760916,0.7804403376487051,0.8578531174355835
778189,0.899871324446139,0.9551637600648648
788034,0.843842645520153,0.7985200470743483
794332,0.86615172648394,0.8289744503510359
801202,0.8230048396835145,0.9171861877968189
804425,-0.07372160290094369,-0.8842499741609686
1009901,0.9171861877968188,0.8895010943256219
1015571,0.40276139555330165,0.2375967066625761
1120611,0.9005253436918677,0.9869880943845974
1160031,-0.6401260509583524,-0.4628284401312796
1161121,0.518544396015702,-0.8842499741609686
1232961,0.8895010943256219,0.9171861877968188
1357911,-0.4348248687069464,0.1146038315066702
1461291,0.9210688656824803,0.9171861877968188
2193981,0.9902410707884479,0.9171861877968188
2204021,0.11259307267501932,1.0
2340581,0.3817772125969764,0.9171861877968188
2655791,0.8613791362575406,0.7985200470743483
2732481,-0.4628284401312796,1.0
2855471,-0.010128771406870922,-0.9999999999999999
3002731,0.9333346084020324,1.0
3096891,0.9088835862368037,0.8895010943256219
3208071,-0.04203919248030145,-0.8936516626159232
3422691,0.8274323979321299,0.7985200470743483
3511961,0.6405794615638878,0.9171861877968188
3551701,0.8809907648662543,0.7985200470743483
3615481,0.893245993181087,0.8989416847044822
3863751,0.8719188849422673,0.9837351179807464
4769571,0.9558387529041376,0.8512605540621128
4902951,0.7950393974379782,0.9171861877968187
4999181,0.784373140763136,0.9804821415768958
5229661,-0.2911584721335489,-0.8842499741609686
5273681,-0.942124987080484,0.9171861877968188
5345602,0.8731395226806252,0.9488341646868574
5385972,-0.4302416978054678,0.9171861877968188
5542712,0.7252641515238647,0.9171861877968187
5631292,0.9012986546872681,0.8895010943256219
5640562,0.9314305319203712,0.9171861877968188
5835972,-0.01920567642070309,0.4695376177376527
5966992,0.9127166625734733,0.8578531174355835
6115852,0.848214551595744,0.873677105880603
6122292,-0.7873033252318468,0.9171861877968187
6229042,0.9324674142805331,0.9171861877968188
6277092,-0.2148900638621831,0.9171861877968188
6293922,0.9902410707884479,-0.8842499741609686
6342542,0.6713051830664096,0.7985200470743483
6507112,0.4625492658039727,0.980482141576896
6528642,0.92042125130651,0.980482141576896
6558552,0.4927895373620166,-0.8842499741609686
6619972,0.972810400269911,0.9171861877968188
6670292,0.944421808081304,0.9171861877968188
6793362,0.9363998662480646,0.9171861877968188
6838872,0.8957376786942562,0.8915551828481361
6859342,0.8875694712395664,0.9709897647015556
6878962,0.9273087690254832,0.8875196526162012
6953012,0.8571087323212223,0.9804821415768958
6968862,0.9115593206800104,0.8895010943256217
6973252,-0.9209463567288616,-0.9999999999999998
7003512,0.8483541342297803,0.9488341646868574
7008842,0.771830567540559,0.8722161633812588
7057422,0.9956626981281991,0.8578531174355835
7059202,0.8795162007004359,0.8895010943256219
7178612,0.980482141576896,-0.0428649635433101
7254262,0.674513945555336,-0.8842499741609686
7261072,0.9202479769777725,0.8866369755135541
7297702,0.9033436410612206,0.7985200470743483
7348152,-0.5896080886625163,-0.3609379374010604
7374992,0.6214238458485186,0.7985200470743484
7377622,0.8206286771822711,0.9079578233064198
7379612,-0.6071883297263989,-0.8842499741609686
7506322,0.3206138792383358,0.901366134384706
7518922,0.9033312958180311,0.9171861877968187
7519602,0.3064240687642812,-0.0428649635433101
7520762,-0.1880557803999956,0.7985200470743484
