outlet,msi
Clarin,0.6110053968879702
La Nacion,0.5311309451856726
Pagina 12,-1.3633560383933945
Todo Noticias,0.6413718929590214
Infobae,0.4007080071968463
El Destape,-1.4958586561880878
Ambito Financiero,-0.5583814528167933
Minuto Uno,-1.2910296665702272
Perfil,-0.05041748805883082
El Cronista,0.11596800939413736
Radio Mitre,1.3105359787636055
El Dia,0.3092772764476953
