node,community
1041102131170689024,0
1073279894027681793,0
854502418771476480,0
866795046409994241,0
787881018866925570,0
919612843997134853,0
1113252701113024518,0
1065686766047428615,0
896447767442325511,0
770901782075670532,0
1146841798783983617,0
718881261079633923,0
781283014651305988,0
834887815641063430,0
820372780172607493,0
2199977999,0
288825359,0
45547548,0
2214436898,0
868843556,0
262135846,0
179142697,0
295723049,0
3167756333,0
59605039,0
74842164,0
742244414,0
593043522,0
186900555,0
180158558,0
3227205729,0
54698081,0
714203238,0
84533354,0
4705542258,0
2435997811,0
282337396,0
1403535480,0
601276543,0
793591814490034176,0
708490603877765120,0
769394787212464128,0
714999394609795072,0
773665162020655104,0
784464591166246912,0
382419095,0
1390551200,0
96493734,0
345628839,0
68599980,0
217309357,0
3022323887,0
212705464,0
212377793,0
418185416,0
150716617,0
4258341077,0
135930074,0
384106715,0
196346079,0
8290532,0
322126053,0
1655611628,0
261398769,0
3413033212,0
157843709,0
1102196878995873792,0
2383880449,0
853581736495554560,0
773254665546768385,0
125788430,0
2340380945,0
248750355,0
353698076,0
341147937,0
140509474,0
1068126118576828416,0
997113229112422400,0
889591933043126272,0
874253261427093504,0
1123602978097770496,0
890338226426261504,0
739553296730468352,0
1113209580815822848,0
346136901,0
755941706,0
241623370,0
240214348,0
1164355698790150145,0
737023646179438593,0
123904343,0
525279584,0
16294264,0
179241343,0
728578805539942400,0
747098119259697152,0
838392941005647873,0
728935734527275009,0
834946770534805506,0
198140302,0
1584251280,0
1494213008,0
50184597,0
598557080,0
800891312,0
1659249079,0
748265917,0
2696790466,0
152682947,0
1296998850,0
1332552134,0
289571273,0
44237261,0
315474383,0
912638432,0
315908592,0
3322053112,0
14508537,0
2709176837,0
148193812,0
1494204968,0
3131531830,0
2353168952,0
159588921,0
211845696,0
849003079,0
2821849673,0
229835338,0
3080831566,0
502317678,0
274752110,0
522560115,0
187318900,0
4606354036,0
1123820150,0
343794296,0
4842955390,0
739967450452742144,0
740035928610197504,0
15999625,0
792666763,0
2696880781,0
163717777,0
2832106135,0
472392348,0
2855248545,0
482239145,0
2732106413,0
726704821,0
55468726,0
565707449,0
718971584,0
2177540806,0
3987522250,0
166560463,0
3430531815,0
3258163949,0
361980656,0
151151350,0
55427837,0
1048593547501264896,0
563217177,0
326345501,0
82944800,0
163717920,0
47211305,0
221799214,0
1334362938,0
2773476158,0
149308231,0
2463712075,0
49341262,0
167953232,0
2942051158,0
217514841,0
244974435,0
3307676517,0
2386895724,0
412517237,0
35021688,0
260490109,0
284885889,0
2733065089,0
437846915,0
839079268797804544,0
718458725128892417,0
435184519,0
871162760,0
840890190738649090,0
102146958,0
119481240,0
148046745,0
138830748,0
133170079,0
1219199912,0
305890218,0
1075870580782579712,0
1159927964613656576,0
1271178169,0
140256185,0
3380462548,0
912851929,0
237011944,0
3064611819,0
495420400,0
908346354,0
