usr_id,score,opinion_valence
58613,0.6721466262111999,0.0
760916,0.6450472884467344,-1.0
778189,0.6281490061792424,1.0
780281,0.013693532873188707,-1.0
788034,0.5637492751533378,-1.0
794332,0.5721379042625916,1.0
801019,0.8618942549145086,-1.0
805272,-1.5927939270522626,-1.0
822064,0.013693532873188707,1.0
1120611,0.8355082219542201,-1.0
1160031,-1.0538159614664593,-1.0
2015611,0.31916659153744514,1.0
2193981,0.7263453017401308,1.0
2655791,0.5637492751533378,-1.0
2957071,-0.19547001445787052,-1.0
3002731,0.8618942549145086,1.0
3096891,0.6930322403137068,1.0
3377601,-0.6439741599749013,-1.0
3511961,0.7263453017401308,-1.0
3736841,0.8223152054740759,1.0
4769571,0.36449847059768486,-1.0
4827221,0.7263453017401308,-1.0
4999181,0.8223152054740759,-1.0
5229661,-0.789550197089537,0.0
5345602,0.7743302536071034,-1.0
5542712,0.7263453017401308,1.0
5966992,0.22723120265957053,1.0
6122292,0.7263453017401308,-1.0
6507112,0.8223152054740759,1.0
6558552,-1.5927939270522626,-1.0
6672742,0.7263453017401308,-1.0
6793362,0.7263453017401308,1.0
6838872,0.64145546030695,-1.0
6859342,0.710029494341728,-0.5
6878962,0.6856962950934326,0.3333333333333333
6953012,0.5198880727365459,-1.0
7057422,0.6450472884467344,1.0
7059202,0.6930322403137068,1.0
7254262,-0.789550197089537,1.0
7254422,0.5637492751533378,-1.0
7436022,-0.608400968914757,0.0
7506322,0.7073092666393171,0.14285714285714285
7518922,0.7263453017401308,1.0
7650242,0.6930322403137068,-1.0
7684582,0.5637492751533378,-0.13043478260869565
7689742,0.8577867108789213,0.8787878787878788
7694642,-0.608400968914757,-1.0
7699802,0.2512441224955027,0.3333333333333333
7702002,0.7263453017401308,-1.0
7771532,0.8223152054740759,-1.0
7773872,0.6450472884467344,-1.0
7790952,0.013693532873188707,-1.0
7821322,-1.756021293501443,-1.0
7824352,0.5637492751533378,-1.0
7825922,0.7434961603504534,-1.0
7826742,0.5689435589925768,-1.0
7885412,0.8223152054740759,-1.0
